causing,caused,F,p,significant_5pct
Rate,Occ,2311.376832573373,0.0,True
Demand,Occ,129.69653457202338,1.2777568662482946e-157,True
Airfare,Occ,6.429509525971942,8.97240511222303e-07,True
Occ,Rate,1.2461622980989857,0.27910418608838566,False
Demand,Rate,0.5870114772364038,0.741018090988935,False
Airfare,Rate,0.9431670702761553,0.4625162477863177,False
Occ,Demand,3.3957770333053827,0.002393705329168664,True
Rate,Demand,167.59285833195813,4.089301699769182e-202,True
Airfare,Demand,0.4510697426915364,0.8446642827743988,False
Occ,Airfare,4.648469911286077,0.00010019768743299378,True
Rate,Airfare,5096.637516307698,0.0,True
Demand,Airfare,5.096380665880715,3.1151674142807536e-05,True
